Ma SV,Ma HP,Time slot
50,KH0229,0
52,KH0110,0
58,KH0158,0
65,KH0062,0
77,KH0130,0
79,KH0135,0
91,KH0248,0
97,KH0321,0
103,KH0235,0
144,KH0135,0
182,KH0110,0
184,KH0373,0
185,KH0418,0
197,KH0451,0
198,KH0250,0
199,KH0187,0
218,KH0418,0
224,KH0088,0
226,KH0321,0
236,KH0418,0
251,KH0328,0
261,KH0145,0
287,KH0519,0
321,KH0130,0
333,KH0519,0
338,KH0057,0
343,KH0252,0
355,KH0065,0
369,KH0248,0
370,KH0328,0
402,KH0321,0
411,KH0321,0
413,KH0542,0
431,KH0158,0
433,KH0277,0
441,KH0057,0
443,KH0135,0
460,KH0438,0
462,KH0135,0
481,KH0328,0
495,KH0418,0
506,KH0135,0
508,KH0171,0
517,KH0057,0
520,KH0085,0
531,KH0543,0
561,KH0135,0
565,KH0496,0
579,KH0252,0
588,KH0062,0
592,KH0250,0
607,KH0475,0
624,KH0328,0
630,KH0135,0
631,KH0135,0
646,KH0328,0
655,KH0418,0
656,KH0110,0
659,KH0418,0
663,KH0451,0
666,KH0187,0
667,KH0250,0
671,KH0328,0
674,KH0418,0
708,KH0057,0
712,KH0057,0
714,KH0451,0
729,KH0248,0
737,KH0473,0
747,KH0250,0
760,KH0062,0
769,KH0473,0
774,KH0110,0
782,KH0438,0
797,KH0451,0
802,KH0135,0
808,KH0135,0
819,KH0202,0
821,KH0396,0
834,KH0373,0
841,KH0473,0
852,KH0475,0
854,KH0396,0
869,KH0252,0
882,KH0473,0
889,KH0135,0
890,KH0135,0
900,KH0373,0
909,KH0348,0
917,KH0069,0
923,KH0135,0
929,KH0135,0
938,KH0123,0
945,KH0187,0
950,KH0418,0
953,KH0135,0
955,KH0254,0
974,KH0395,0
977,KH0135,0
983,KH0277,0
991,KH0158,0
993,KH0543,0
1004,KH0543,0
1012,KH0537,0
1013,KH0418,0
1014,KH0065,0
1015,KH0277,0
1040,KH0418,0
1052,KH0438,0
1055,KH0475,0
1067,KH0301,0
1069,KH0162,0
1079,KH0438,0
1086,KH0135,0
1088,KH0187,0
1089,KH0084,0
1090,KH0229,0
1099,KH0062,0
1110,KH0537,0
1114,KH0110,0
1119,KH0135,0
1142,KH0277,0
1156,KH0287,0
1164,KH0459,0
1166,KH0396,0
1180,KH0057,0
1189,KH0396,0
1195,KH0418,0
1208,KH0459,0
1210,KH0277,0
1211,KH0250,0
1224,KH0543,0
1236,KH0084,0
1244,KH0135,0
1257,KH0085,0
1258,KH0135,0
1274,KH0396,0
1278,KH0543,0
1282,KH0301,0
1287,KH0328,0
1290,KH0418,0
1303,KH0543,0
1306,KH0301,0
1319,KH0348,0
1320,KH0418,0
1324,KH0250,0
1330,KH0301,0
1334,KH0057,0
1335,KH0321,0
1338,KH0301,0
1347,KH0135,0
1368,KH0135,0
1369,KH0321,0
1421,KH0135,0
1436,KH0301,0
1443,KH0145,0
1445,KH0062,0
1452,KH0229,0
1454,KH0110,0
1458,KH0543,0
1463,KH0135,0
1477,KH0062,0
1479,KH0543,0
1482,KH0166,0
1483,KH0110,0
1511,KH0065,0
1514,KH0396,0
1518,KH0062,0
1526,KH0475,0
1530,KH0135,0
1553,KH0328,0
1566,KH0348,0
1568,KH0135,0
1569,KH0085,0
1582,KH0418,0
1587,KH0084,0
1590,KH0123,0
1602,KH0418,0
1605,KH0252,0
1607,KH0235,0
1610,KH0135,0
1613,KH0088,0
1616,KH0235,0
1618,KH0438,0
1643,KH0135,0
1646,KH0321,0
1655,KH0250,0
1656,KH0135,0
1660,KH0301,0
1662,KH0277,0
1667,KH0158,0
1669,KH0321,0
1674,KH0473,0
1694,KH0135,0
1697,KH0110,0
1706,KH0248,0
1715,KH0252,0
1716,KH0123,0
1747,KH0135,0
1751,KH0062,0
1753,KH0135,0
1759,KH0110,0
1763,KH0135,0
1780,KH0088,0
1798,KH0287,0
1810,KH0085,0
1811,KH0123,0
1830,KH0438,0
1838,KH0062,0
1869,KH0537,0
1872,KH0057,0
1875,KH0202,0
1879,KH0537,0
1890,KH0062,0
1891,KH0451,0
1905,KH0543,0
1907,KH0321,0
1926,KH0135,0
1929,KH0250,0
1930,KH0057,0
1931,KH0418,0
1939,KH0123,0
1945,KH0135,0
1949,KH0085,0
1956,KH0348,0
1966,KH0110,0
1972,KH0301,0
1975,KH0348,0
1976,KH0328,0
1984,KH0123,0
1992,KH0451,0
1993,KH0543,0
1996,KH0473,0
1998,KH0473,0
2005,KH0537,0
2012,KH0130,0
2017,KH0497,0
2019,KH0418,0
2030,KH0328,0
2062,KH0202,0
2079,KH0085,0
2081,KH0250,0
2087,KH0287,0
2096,KH0321,0
2121,KH0022,0
2126,KH0450,0
2128,KH0135,0
2129,KH0321,0
2132,KH0301,0
2145,KH0057,0
2151,KH0396,0
2163,KH0451,0
2170,KH0135,0
2193,KH0396,0
2202,KH0110,0
2214,KH0287,0
2215,KH0348,0
2217,KH0473,0
2221,KH0537,0
2229,KH0537,0
2236,KH0085,0
2238,KH0135,0
2245,KH0135,0
2251,KH0348,0
2259,KH0135,0
2261,KH0321,0
2264,KH0110,0
2273,KH0123,0
2274,KH0187,0
2286,KH0301,0
2288,KH0062,0
2292,KH0084,0
2298,KH0321,0
2304,KH0145,0
2308,KH0451,0
2311,KH0537,0
2314,KH0084,0
2320,KH0451,0
2326,KH0123,0
2334,KH0135,0
2340,KH0135,0
2342,KH0321,0
2343,KH0543,0
2351,KH0123,0
2354,KH0085,0
2356,KH0301,0
2362,KH0135,0
2366,KH0135,0
2367,KH0123,0
2372,KH0348,0
2378,KH0301,0
2387,KH0166,0
2393,KH0301,0
2399,KH0135,0
2400,KH0062,0
2411,KH0135,0
2412,KH0202,0
2430,KH0252,0
2433,KH0135,0
2436,KH0123,0
2438,KH0543,0
2439,KH0473,0
2445,KH0135,0
2448,KH0543,0
2458,KH0252,0
2461,KH0057,0
2469,KH0135,0
2484,KH0438,0
2485,KH0135,0
2498,KH0321,0
2504,KH0341,0
2505,KH0475,0
2524,KH0065,0
2532,KH0475,0
2547,KH0341,0
2554,KH0543,0
2564,KH0301,0
2566,KH0301,0
2575,KH0252,0
2583,KH0542,0
2585,KH0135,0
2589,KH0162,0
2592,KH0348,0
2595,KH0537,0
2598,KH0473,0
2603,KH0287,0
2608,KH0235,0
2612,KH0396,0
2629,KH0438,0
2633,KH0123,0
2636,KH0057,0
2644,KH0301,0
2659,KH0123,0
2661,KH0135,0
2663,KH0537,0
2666,KH0341,0
2677,KH0348,0
2683,KH0065,0
2698,KH0084,0
2703,KH0373,0
2725,KH0301,0
2729,KH0537,0
2739,KH0301,0
2740,KH0085,0
2744,KH0459,0
2746,KH0123,0
2747,KH0473,0
2749,KH0135,0
2750,KH0085,0
2756,KH0373,0
2762,KH0475,0
2774,KH0438,0
2775,KH0145,0
2791,KH0473,0
2797,KH0451,0
2800,KH0543,0
2802,KH0341,0
2807,KH0348,0
2813,KH0321,0
2821,KH0069,0
2824,KH0088,0
2828,KH0022,0
2829,KH0418,0
2834,KH0135,0
2837,KH0418,0
2849,KH0162,0
2854,KH0062,0
2862,KH0373,0
2866,KH0187,0
2868,KH0543,0
2870,KH0123,0
2881,KH0069,0
2886,KH0229,0
2894,KH0321,0
2895,KH0496,0
2903,KH0348,0
2910,KH0135,0
2911,KH0438,0
2912,KH0321,0
2924,KH0187,0
2926,KH0252,0
2928,KH0135,0
2942,KH0123,0
2955,KH0145,0
2957,KH0497,0
2958,KH0301,0
2959,KH0135,0
2960,KH0475,0
2970,KH0187,0
2982,KH0135,0
2997,KH0321,0
3004,KH0135,0
3028,KH0085,0
3030,KH0110,0
3037,KH0202,0
3052,KH0065,0
3054,KH0277,0
3055,KH0110,0
3069,KH0321,0
3082,KH0473,0
3086,KH0123,0
3093,KH0235,0
3105,KH0250,0
3108,KH0252,0
3109,KH0062,0
3111,KH0301,0
3115,KH0135,0
3127,KH0171,0
3136,KH0085,0
3142,KH0088,0
3143,KH0166,0
3145,KH0542,0
3148,KH0473,0
3152,KH0537,0
3156,KH0543,0
3161,KH0135,0
3164,KH0301,0
3180,KH0321,0
3181,KH0145,0
3185,KH0418,0
3204,KH0135,0
3209,KH0166,0
3210,KH0135,0
3211,KH0438,0
3215,KH0135,0
3222,KH0396,0
3223,KH0145,0
3225,KH0518,0
3226,KH0135,0
3231,KH0537,0
3232,KH0451,0
3236,KH0250,0
3237,KH0321,0
3239,KH0057,0
3241,KH0451,0
3248,KH0187,0
3250,KH0085,0
3258,KH0135,0
3260,KH0277,0
3274,KH0252,0
3275,KH0202,0
3311,KH0145,0
3321,KH0062,0
3330,KH0065,0
3331,KH0135,0
3341,KH0084,0
3343,KH0135,0
3344,KH0110,0
3358,KH0123,0
3372,KH0135,0
3373,KH0135,0
3381,KH0543,0
3382,KH0084,0
3389,KH0084,0
3390,KH0301,0
3396,KH0301,0
3426,KH0537,0
3427,KH0537,0
3429,KH0135,0
3444,KH0301,0
3452,KH0123,0
3455,KH0321,0
3472,KH0328,0
3487,KH0135,0
3494,KH0065,0
3501,KH0135,0
3502,KH0085,0
3503,KH0135,0
3518,KH0373,0
3521,KH0277,0
3527,KH0123,0
3532,KH0395,0
3539,KH0543,0
3546,KH0110,0
3547,KH0135,0
3548,KH0135,0
3552,KH0123,0
3553,KH0301,0
3562,KH0475,0
3563,KH0497,0
3564,KH0543,0
3566,KH0229,0
3573,KH0252,0
3585,KH0250,0
3593,KH0135,0
3597,KH0123,0
3600,KH0057,0
3611,KH0085,0
3625,KH0543,0
3635,KH0373,0
3640,KH0438,0
3650,KH0084,0
3653,KH0123,0
3655,KH0123,0
3659,KH0543,0
3665,KH0543,0
3667,KH0537,0
3668,KH0110,0
3671,KH0287,0
