Ma SV,Ma HP,Time slot
4,KH0076,0
5,KH0076,0
47,KH0252,0
52,KH0252,0
75,KH0301,0
76,KH0370,0
77,KH0370,0
78,KH0370,0
79,KH0370,0
84,KH0235,0
93,KH0333,0
94,KH0036,0
95,KH0076,0
96,KH0335,0
99,KH0049,0
101,KH0036,0
102,KH0142,0
103,KH0036,0
104,KH0238,0
107,KH0142,0
108,KH0036,0
109,KH0142,0
116,KH0335,0
117,KH0169,0
118,KH0036,0
120,KH0020,0
124,KH0036,0
125,KH0142,0
126,KH0036,0
127,KH0304,0
128,KH0238,0
129,KH0235,0
130,KH0036,0
133,KH0036,0
134,KH0036,0
141,KH0101,0
142,KH0036,0
149,KH0344,0
150,KH0036,0
151,KH0076,0
155,KH0335,0
156,KH0097,0
160,KH0121,0
164,KH0335,0
169,KH0252,0
170,KH0303,0
175,KH0036,0
180,KH0099,0
182,KH0303,0
183,KH0220,0
184,KH0036,0
185,KH0036,0
189,KH0049,0
190,KH0036,0
192,KH0036,0
193,KH0020,0
194,KH0020,0
196,KH0076,0
198,KH0036,0
200,KH0036,0
203,KH0238,0
204,KH0036,0
205,KH0036,0
206,KH0151,0
207,KH0036,0
208,KH0273,0
209,KH0273,0
210,KH0142,0
213,KH0344,0
214,KH0036,0
215,KH0036,0
217,KH0076,0
219,KH0101,0
221,KH0238,0
228,KH0049,0
239,KH0036,0
240,KH0097,0
241,KH0036,0
243,KH0099,0
244,KH0076,0
246,KH0344,0
247,KH0036,0
250,KH0238,0
251,KH0036,0
253,KH0036,0
259,KH0036,0
261,KH0303,0
262,KH0036,0
263,KH0036,0
267,KH0036,0
272,KH0049,0
274,KH0049,0
275,KH0036,0
276,KH0049,0
278,KH0036,0
280,KH0036,0
283,KH0238,0
284,KH0273,0
285,KH0238,0
286,KH0036,0
287,KH0076,0
289,KH0036,0
290,KH0036,0
291,KH0036,0
292,KH0036,0
294,KH0036,0
304,KH0142,0
312,KH0036,0
314,KH0036,0
315,KH0036,0
317,KH0142,0
