Ma SV,Ma HP
1,0183
2,0221
3,0199
4,0049
5,0015
6,0046
7,0011
7,0012
7,0014
7,0074
7,0076
8,0247
9,0121
9,0127
9,0220
9,0221
9,0253
10,0167
10,0251
11,0099
11,0168
12,0168
13,0161
13,0166
13,0231
14,0129
15,0029
15,0055
15,0063
15,0184
16,0168
17,0015
17,0018
18,0218
19,0053
19,0224
19,0232
20,0011
20,0013
20,0216
20,0220
21,0117
22,0245
23,0216
23,0247
24,0110
24,0111
24,0113
25,0068
26,0068
27,0105
28,0188
29,0218
30,0011
30,0249
31,0158
31,0211
32,0190
33,0164
34,0105
34,0219
34,0220
35,0071
35,0215
36,0008
37,0073
38,0230
38,0231
38,0253
39,0154
40,0039
40,0119
41,0078
41,0173
42,0068
43,0173
44,0120
45,0168
45,0214
46,0001
46,0005
46,0007
46,0084
47,0072
48,0002
48,0004
48,0005
48,0006
48,0007
48,0084
49,0046
49,0211
49,0212
50,0073
51,0042
51,0046
51,0069
51,0162
51,0165
52,0027
53,0011
54,0042
55,0005
55,0007
56,0215
56,0220
57,0115
58,0222
59,0069
59,0254
60,0015
60,0220
61,0014
62,0083
63,0111
63,0112
64,0107
65,0011
66,0025
67,0068
68,0042
69,0072
70,0007
71,0068
72,0006
73,0039
73,0233
73,0239
74,0074
75,0231
76,0015
76,0068
77,0245
78,0100
78,0258
79,0038
80,0077
81,0189
82,0015
83,0247
83,0249
84,0006
84,0216
84,0231
85,0049
86,0176
86,0180
87,0186
88,0049
89,0222
89,0224
90,0186
91,0107
91,0108
91,0180
91,0182
92,0107
93,0173
94,0196
95,0154
96,0027
96,0052
96,0053
96,0173
96,0233
97,0111
97,0113
97,0215
98,0049
98,0250
98,0252
99,0011
99,0085
100,0218
101,0163
102,0135
102,0136
102,0137
102,0138
103,0081
104,0068
104,0252
105,0154
106,0260
107,0101
108,0177
108,0182
108,0183
108,0215
109,0220
110,0110
110,0115
110,0139
110,0140
110,0141
111,0110
112,0098
113,0015
113,0030
113,0033
113,0038
113,0184
114,0176
115,0061
116,0023
117,0243
118,0193
118,0216
118,0219
118,0220
119,0234
120,0042
121,0011
122,0081
123,0068
124,0195
124,0197
125,0194
126,0211
127,0011
128,0145
129,0114
130,0114
131,0220
132,0028
132,0053
132,0184
133,0147
134,0041
134,0111
134,0113
135,0154
136,0030
137,0065
137,0108
137,0162
138,0218
139,0237
139,0238
140,0164
141,0115
141,0140
141,0151
142,0075
142,0119
142,0152
143,0013
143,0014
144,0071
144,0194
144,0199
145,0034
146,0193
146,0256
147,0097
147,0100
148,0139
149,0047
149,0168
149,0253
150,0254
151,0101
152,0107
153,0101
154,0190
155,0222
156,0145
157,0004
157,0085
158,0163
159,0250
160,0189
160,0254
161,0001
161,0191
161,0193
162,0042
163,0226
163,0230
163,0253
164,0025
164,0160
164,0249
165,0069
165,0161
165,0162
165,0203
166,0071
166,0196
167,0157
168,0006
169,0029
169,0036
170,0052
170,0055
170,0059
170,0174
170,0198
171,0240
171,0241
171,0243
172,0089
172,0092
172,0134
173,0226
174,0006
175,0207
175,0209
176,0225
177,0183
178,0072
178,0174
178,0233
179,0093
180,0195
181,0145
181,0237
181,0238
182,0081
183,0118
184,0074
184,0075
184,0181
185,0066
185,0163
186,0191
187,0089
187,0160
188,0158
189,0199
190,0046
191,0193
191,0218
191,0222
191,0224
192,0214
193,0071
194,0089
195,0248
196,0025
197,0182
198,0260
199,0250
200,0163
201,0069
201,0202
201,0210
201,0211
201,0212
202,0163
203,0190
204,0024
205,0222
205,0224
206,0044
207,0103
207,0105
207,0108
208,0144
208,0214
209,0204
209,0210
209,0211
209,0212
210,0008
210,0084
210,0087
210,0093
211,0229
212,0089
213,0115
213,0174
213,0233
214,0101
215,0104
216,0156
216,0164
216,0211
216,0212
217,0163
217,0167
218,0150
218,0151
218,0163
218,0234
219,0123
220,0247
221,0088
221,0089
221,0090
221,0184
222,0026
222,0058
222,0074
223,0207
224,0108
224,0187
224,0256
225,0056
225,0061
226,0044
226,0111
227,0161
228,0216
228,0227
229,0093
230,0026
231,0132
231,0133
232,0209
233,0042
233,0161
233,0168
234,0013
235,0164
236,0220
236,0231
237,0161
238,0111
238,0114
239,0144
240,0161
241,0031
241,0111
241,0118
242,0229
243,0032
243,0234
244,0096
245,0168
245,0250
246,0032
246,0039
246,0041
246,0110
247,0080
247,0154
248,0149
248,0151
248,0167
249,0189
249,0204
249,0206
249,0208
250,0077
250,0078
251,0168
252,0207
253,0099
253,0189
254,0030
254,0073
255,0169
256,0104
257,0047
257,0133
257,0252
258,0208
259,0209
260,0014
261,0008
262,0093
262,0250
263,0250
264,0050
264,0210
264,0246
265,0162
265,0163
266,0218
267,0047
267,0101
267,0105
267,0247
268,0064
269,0154
270,0231
271,0160
271,0206
272,0162
272,0163
272,0168
273,0163
274,0069
275,0207
276,0001
276,0081
276,0246
276,0250
277,0229
277,0253
278,0084
278,0154
279,0041
280,0224
280,0229
281,0124
281,0125
281,0128
282,0207
282,0213
283,0072
284,0086
284,0087
284,0089
285,0225
285,0227
286,0090
286,0091
286,0092
286,0133
287,0004
287,0008
287,0009
287,0113
288,0231
289,0014
289,0019
290,0046
290,0169
291,0094
292,0046
293,0253
294,0031
294,0034
295,0044
296,0021
297,0094
298,0025
299,0019
300,0007
301,0108
302,0099
302,0121
303,0007
303,0086
304,0214
304,0249
305,0068
306,0120
307,0101
307,0103
307,0254
308,0072
309,0081
310,0169
311,0158
312,0219
312,0247
312,0251
313,0008
313,0009
313,0092
313,0207
314,0167
315,0112
315,0113
315,0114
316,0056
317,0044
317,0107
318,0005
318,0008
318,0087
319,0133
320,0116
320,0117
320,0176
320,0236
320,0237
321,0007
321,0008
321,0009
321,0010
321,0206
322,0012
322,0072
322,0158
323,0005
323,0006
323,0007
323,0008
323,0009
324,0135
324,0161
325,0161
326,0086
326,0088
326,0089
326,0092
327,0038
327,0220
328,0099
328,0106
329,0017
330,0008
330,0009
330,0010
330,0113
331,0006
331,0226
331,0231
332,0006
332,0093
333,0260
334,0057
334,0111
334,0118
334,0215
335,0206
335,0207
336,0032
336,0034
337,0040
338,0100
338,0197
339,0038
339,0219
340,0225
340,0227
341,0005
341,0007
341,0008
341,0010
341,0210
342,0228
343,0011
343,0088
343,0092
343,0154
344,0165
344,0207
345,0031
345,0040
345,0111
346,0020
347,0072
347,0112
347,0196
347,0200
348,0073
348,0075
349,0108
349,0194
349,0196
350,0011
351,0019
351,0231
351,0259
352,0103
352,0229
353,0050
353,0081
353,0115
353,0116
353,0174
354,0044
354,0150
354,0190
355,0111
355,0115
355,0120
355,0144
356,0114
356,0119
357,0231
357,0249
358,0155
359,0007
359,0093
359,0259
360,0247
360,0250
361,0044
361,0111
361,0113
361,0115
362,0049
362,0158
362,0164
362,0171
363,0089
363,0090
363,0092
363,0196
364,0037
364,0144
365,0008
365,0009
365,0010
365,0203
366,0018
367,0087
368,0006
368,0007
368,0008
368,0010
368,0248
369,0004
369,0007
369,0086
369,0087
370,0182
370,0183
370,0221
370,0230
371,0101
371,0113
371,0140
371,0151
372,0088
372,0156
372,0167
373,0085
373,0086
373,0089
373,0092
374,0098
375,0025
375,0109
375,0163
