Ma SV,Ma HP
1,0003
1,0013
1,0034
1,0054
1,0071
1,0081
1,0097
1,0105
1,0116
1,0135
1,0138
2,0003
2,0015
2,0036
2,0056
2,0071
2,0083
2,0097
2,0106
2,0118
2,0135
2,0138
3,0003
3,0010
3,0031
3,0051
3,0071
3,0078
3,0097
3,0105
3,0113
3,0135
3,0138
4,0003
4,0011
4,0032
4,0052
4,0071
4,0079
4,0097
4,0106
4,0114
4,0135
4,0138
5,0003
5,0011
5,0032
5,0052
5,0071
5,0079
5,0097
5,0106
5,0114
5,0135
5,0138
6,0003
6,0016
6,0037
6,0057
6,0071
6,0084
6,0097
6,0105
6,0119
6,0135
6,0138
7,0003
7,0009
7,0030
7,0050
7,0071
7,0077
7,0097
7,0105
7,0112
7,0135
7,0138
8,0003
8,0016
8,0037
8,0057
8,0071
8,0084
8,0097
8,0106
8,0119
8,0135
8,0138
9,0003
9,0009
9,0030
9,0050
9,0071
9,0077
9,0097
9,0106
9,0112
9,0135
9,0138
10,0003
10,0010
10,0031
10,0051
10,0071
10,0078
10,0097
10,0106
10,0113
10,0135
10,0138
11,0003
11,0011
11,0032
11,0052
11,0071
11,0079
11,0097
11,0105
11,0114
11,0135
11,0138
12,0003
12,0016
12,0037
12,0057
12,0071
12,0084
12,0097
12,0106
12,0119
12,0135
12,0138
13,0003
13,0011
13,0032
13,0052
13,0071
13,0079
13,0097
13,0106
13,0114
13,0135
13,0138
14,0003
14,0011
14,0032
14,0052
14,0071
14,0079
14,0097
14,0106
14,0114
14,0135
14,0138
15,0003
15,0016
15,0037
15,0057
15,0071
15,0084
15,0097
15,0106
15,0119
15,0135
15,0138
16,0003
16,0009
16,0030
16,0050
16,0071
16,0077
16,0097
16,0106
16,0112
16,0135
16,0138
17,0003
17,0015
17,0036
17,0056
17,0071
17,0083
17,0097
17,0105
17,0118
17,0135
17,0138
18,0003
18,0015
18,0036
18,0056
18,0071
18,0083
18,0097
18,0106
18,0118
18,0135
18,0138
19,0003
19,0010
19,0031
19,0051
19,0071
19,0078
19,0097
19,0105
19,0113
19,0135
19,0138
20,0003
20,0009
20,0030
20,0050
20,0071
20,0077
20,0097
20,0106
20,0112
20,0135
20,0138
21,0003
21,0010
21,0031
21,0051
21,0071
21,0078
21,0097
21,0106
21,0113
21,0135
21,0138
22,0003
22,0016
22,0037
22,0057
22,0071
22,0084
22,0097
22,0106
22,0119
22,0135
22,0138
23,0003
23,0016
23,0037
23,0057
23,0071
23,0084
23,0097
23,0106
23,0119
23,0135
23,0138
24,0003
24,0010
24,0031
24,0051
24,0071
24,0078
24,0097
24,0106
24,0113
24,0135
24,0138
25,0003
25,0009
25,0030
25,0050
25,0071
25,0077
25,0097
25,0105
25,0112
25,0135
25,0138
26,0003
26,0011
26,0032
26,0052
26,0071
26,0079
26,0097
26,0105
26,0114
26,0135
26,0138
27,0003
27,0011
27,0032
27,0052
27,0071
27,0079
27,0097
27,0105
27,0114
27,0135
27,0138
28,0003
28,0009
28,0030
28,0050
28,0071
28,0077
28,0097
28,0105
28,0112
28,0135
28,0138
29,0003
29,0010
29,0031
29,0051
29,0071
29,0078
29,0097
29,0105
29,0113
29,0135
29,0138
30,0003
30,0009
30,0030
30,0050
30,0071
30,0077
30,0097
30,0106
30,0112
30,0135
30,0138
31,0003
31,0010
31,0031
31,0051
31,0071
31,0078
31,0097
31,0106
31,0113
31,0135
31,0138
32,0003
32,0015
32,0036
32,0056
32,0071
32,0083
32,0097
32,0105
32,0118
32,0135
32,0138
33,0003
33,0015
33,0036
33,0056
33,0071
33,0083
33,0097
33,0106
33,0118
33,0135
33,0138
34,0003
34,0010
34,0031
34,0051
34,0071
34,0078
34,0097
34,0106
34,0113
34,0135
34,0138
35,0003
35,0012
35,0033
35,0053
35,0071
35,0080
35,0097
35,0105
35,0115
35,0135
35,0138
36,0003
36,0010
36,0031
36,0051
36,0071
36,0078
